Model,MAE,RMSE,R2
Tuned XGBoost,63107.92,94228.05,0.8739
XGBoost,64916.64,98972.27,0.8609
Random Forest,68342.69,103243.21,0.8486
Linear Regression,75030.3,115712.63,0.8098
